Gene	MutSig(Q-value)	# Mut	#Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
C1ORF220		2	2	499	0.4%	No
ELOA2		3	3	499	0.6%	No
FUZ		1	1	499	0.2%	No
CORO2A		1	1	499	0.2%	No
CORO2B		2	2	499	0.4%	No
NDC80		1	1	499	0.2%	No
C1ORF216		1	1	499	0.2%	No
IGSF10		8	8	499	1.6%	No
DMXL1		5	5	499	1.0%	No
DMXL2		3	3	499	0.6%	No
LCN2		2	2	499	0.4%	No
ACO1		1	1	499	0.2%	No
ACO2		1	1	499	0.2%	No
OR7A10		1	1	499	0.2%	No
LRGUK		3	3	499	0.6%	No
MCMDC2		4	3	499	0.6%	No
AKAP8L		2	2	499	0.4%	No
TSPAN12		1	1	499	0.2%	No
TSPAN11		1	1	499	0.2%	No
RLBP1		2	2	499	0.4%	No
CDC73		2	2	499	0.4%	Yes
HHEX		3	1	499	0.2%	No
TAGAP		2	2	499	0.4%	No
ACP4		3	3	499	0.6%	No
ACP5		1	1	499	0.2%	No
ACP3		1	1	499	0.2%	No
ACP1		1	1	499	0.2%	No
CEP290		4	4	499	0.8%	No
OR7A17		1	1	499	0.2%	No
EIF5A		2	2	499	0.4%	No
EIF5B		1	1	499	0.2%	No
APAF1		2	2	499	0.4%	No
ATRX		5	5	499	1.0%	Yes
SEZ6L		3	3	499	0.6%	No
ATRN		1	1	499	0.2%	No
MFRP		1	1	499	0.2%	No
LCOR		4	4	499	0.8%	No
LCP2		2	2	499	0.4%	No
TMBIM6		1	1	499	0.2%	No
LCP1		1	1	499	0.2%	Yes
YJU2B		3	3	499	0.6%	No
SLC5A12		3	3	499	0.6%	No
PBXIP1		3	3	499	0.6%	No
SLC5A10		6	5	499	1.0%	No
RCHY1		2	2	499	0.4%	No
FSCB		3	3	499	0.6%	No
TSPAN33		1	1	499	0.2%	No
DEPP1		1	1	499	0.2%	No
EHBP1		3	2	499	0.4%	No
CDC45		1	1	499	0.2%	No
EIF4H		1	1	499	0.2%	No
FYN		1	1	499	0.2%	Yes
FSD1		1	1	499	0.2%	No
PCDH1		1	1	499	0.2%	No
EIF4E		1	1	499	0.2%	Yes
EIF4B		2	1	499	0.2%	No
H2AZ1		1	1	499	0.2%	No
NTRK1		9	6	499	1.2%	Yes
GADD45GIP1		1	1	499	0.2%	No
H2AZ2		1	1	499	0.2%	No
MARCKSL1		1	1	499	0.2%	No
PCDH9		5	4	499	0.8%	No
NTRK3		3	3	499	0.6%	Yes
PCDH7		3	3	499	0.6%	No
MID1IP1		1	1	499	0.2%	No
PCDH8		2	2	499	0.4%	No
KIAA1549L		9	9	499	1.8%	No
CDC5L		2	2	499	0.4%	No
SYT15		2	1	499	0.2%	No
SYT14		2	2	499	0.4%	No
SYT13		1	1	499	0.2%	No
FAM209A		2	2	499	0.4%	No
TTC39C		2	2	499	0.4%	No
REC8		1	1	499	0.2%	No
SYT17		1	1	499	0.2%	No
SUGCT		1	1	499	0.2%	No
TTC39B		1	1	499	0.2%	No
TSPAN16		1	1	499	0.2%	No
MCM3AP		6	4	499	0.8%	No
SYT12		1	1	499	0.2%	No
SYT11		3	3	499	0.6%	No
EIF3L		1	1	499	0.2%	No
SYT10		3	3	499	0.6%	No
EIF3J		1	1	499	0.2%	No
CD248		4	4	499	0.8%	No
CD247		1	1	499	0.2%	No
EIF3F		2	1	499	0.2%	No
EIF3C		1	1	499	0.2%	No
EIF3D		1	1	499	0.2%	No
TRAV36DV7		1	1	499	0.2%	No
SHFL		1	1	499	0.2%	No
EIF3B		2	2	499	0.4%	No
DMGDH		1	1	499	0.2%	No
SMARCAL1		2	2	499	0.4%	No
HHIP		4	4	499	0.8%	No
PPAN		1	1	499	0.2%	No
ACTB		1	1	499	0.2%	Yes
IL27RA		3	3	499	0.6%	No
CDC20		2	2	499	0.4%	No
CDC23		3	2	499	0.4%	No
PPAT		1	1	499	0.2%	No
CDC27		12	12	499	2.4%	No
PIEZO2		3	3	499	0.6%	No
PIEZO1		1	1	499	0.2%	No
EPC1		2	2	499	0.4%	No
EIF2D		1	1	499	0.2%	No
EPC2		1	1	499	0.2%	No
MFSD2B		3	3	499	0.6%	No
OR5B3		1	1	499	0.2%	No
ATP6V1E2		1	1	499	0.2%	No
OR5B2		1	1	499	0.2%	No
EIF2A		1	1	499	0.2%	No
MFSD2A		2	2	499	0.4%	No
KCTD19		3	3	499	0.6%	No
CIRBP		1	1	499	0.2%	No
ISLR2		4	3	499	0.6%	No
CSNK1E		3	3	499	0.6%	No
MFSD12		2	2	499	0.4%	No
CDC40		1	1	499	0.2%	No
ARGFX		1	1	499	0.2%	No
CDC34		1	1	499	0.2%	No
KCTD10		1	1	499	0.2%	No
CDC37		3	2	499	0.4%	No
CSNK2B		1	1	499	0.2%	No
OR2AT4		1	1	499	0.2%	No
ANKRD20A4P		1	1	499	0.2%	No
KCTD14		1	1	499	0.2%	No
CD226		2	2	499	0.4%	No
BCORL1		6	5	499	1.0%	Yes
OR5A2		2	2	499	0.4%	No
KCTD18		2	1	499	0.2%	No
OR5A1		3	3	499	0.6%	No
KCTD16		4	4	499	0.8%	No
USHBP1		3	3	499	0.6%	No
FBF1		1	1	499	0.2%	No
LPAR1		2	2	499	0.4%	No
LPAR3		3	2	499	0.4%	No
OMA1		1	1	499	0.2%	No
KALRN		4	4	499	0.8%	No
PPCS		1	1	499	0.2%	No
XRRA1		2	2	499	0.4%	No
CEP192		2	2	499	0.4%	No
ATP6V1C2		6	6	499	1.2%	No
STAT5B		2	2	499	0.4%	Yes
REG4		1	1	499	0.2%	No
GREB1		2	2	499	0.4%	No
OSGIN1		1	1	499	0.2%	No
IFFO1		2	2	499	0.4%	No
ALDH6A1		2	1	499	0.2%	No
LPAR5		1	1	499	0.2%	No
CD209		8	8	499	1.6%	No
CDC16		1	1	499	0.2%	No
CD207		2	2	499	0.4%	No
KYAT1		2	2	499	0.4%	No
IGSF9B		1	1	499	0.2%	No
SUGP2		1	1	499	0.2%	No
SUGP1		2	2	499	0.4%	No
IL21		2	2	499	0.4%	No
WFDC8		1	1	499	0.2%	No
IL22		1	1	499	0.2%	No
DHRS13		1	1	499	0.2%	No
SYNM		1	1	499	0.2%	No
ACY3		1	1	499	0.2%	No
WFDC6		1	1	499	0.2%	No
IL20		1	1	499	0.2%	No
ACY1		2	2	499	0.4%	No
IL25		1	1	499	0.2%	No
FBH1		2	2	499	0.4%	No
IL24		3	3	499	0.6%	No
IL27		2	2	499	0.4%	No
SH3RF1		1	1	499	0.2%	No
WFDC3		1	1	499	0.2%	No
AKAP12		6	6	499	1.2%	No
AKAP13		5	2	499	0.4%	No
AKAP10		1	1	499	0.2%	No
AKAP11		3	3	499	0.6%	No
CRTAC1		3	3	499	0.6%	No
ERMARD		6	5	499	1.0%	No
AKAP14		1	1	499	0.2%	No
EPG5		5	4	499	0.8%	No
SPTAN1		3	3	499	0.6%	No
ZNF587B		2	1	499	0.2%	No
IL10		1	1	499	0.2%	Yes
PBRM1		3	2	499	0.4%	Yes
OR5F1		2	2	499	0.4%	No
ATMIN		1	1	499	0.2%	No
GAA		1	1	499	0.2%	No
PABPC4		2	2	499	0.4%	No
PABPC5		1	1	499	0.2%	No
IL16		5	4	499	0.8%	No
SYN3		1	1	499	0.2%	No
GAK		5	4	499	0.8%	No
IL1A		1	1	499	0.2%	No
GAL		1	1	499	0.2%	No
GAN		1	1	499	0.2%	No
FSHR		2	2	499	0.4%	No
PABPC3		1	1	499	0.2%	No
PABPC1		2	2	499	0.4%	No
SYNC		2	2	499	0.4%	No
ANKRD20A8P		2	2	499	0.4%	No
RELA		3	3	499	0.6%	No
RELB		2	1	499	0.2%	No
REM1		1	1	499	0.2%	No
MFSD4A		1	1	499	0.2%	No
RELN		10	6	499	1.2%	Yes
NFIL3		1	1	499	0.2%	No
MGAT5		1	1	499	0.2%	No
MGAT3		1	1	499	0.2%	No
SHOX		2	2	499	0.4%	No
ZNF585B		3	3	499	0.6%	No
XDH		1	1	499	0.2%	No
REM2		1	1	499	0.2%	No
ZNF585A		2	1	499	0.2%	No
H2BC9		1	1	499	0.2%	No
IL32		3	3	499	0.6%	No
OFCC1		2	2	499	0.4%	No
H2BC7		2	2	499	0.4%	No
H2BC8		3	3	499	0.6%	Yes
PNPLA7		4	4	499	0.8%	No
H2BC6		1	1	499	0.2%	No
PNPLA8		1	1	499	0.2%	No
IL34		2	2	499	0.4%	No
PCDHB15		5	4	499	0.8%	No
PCDHB14		6	5	499	1.0%	No
VEGFD		1	1	499	0.2%	No
PCDHB12		6	6	499	1.2%	No
PCDHB11		1	1	499	0.2%	No
PCDHB10		4	4	499	0.8%	No
GCK		5	5	499	1.0%	No
HYPK		1	1	499	0.2%	No
VEGFA		2	2	499	0.4%	Yes
NUDT7		1	1	499	0.2%	No
MIS18A		1	1	499	0.2%	No
CFHR2		2	2	499	0.4%	No
CFHR1		1	1	499	0.2%	No
CFHR3		1	1	499	0.2%	No
PCDHB16		2	2	499	0.4%	No
OTULIN		1	1	499	0.2%	No
PNPLA4		1	1	499	0.2%	No
AGGF1		2	2	499	0.4%	No
CFHR5		4	4	499	0.8%	No
CCNYL1		1	1	499	0.2%	No
PNPLA5		1	1	499	0.2%	No
PNPLA6		2	2	499	0.4%	No
KIAA1958		1	1	499	0.2%	No
PNPLA1		4	3	499	0.6%	No
PNPLA2		1	1	499	0.2%	No
OR5C1		2	2	499	0.4%	No
SRP19		1	1	499	0.2%	No
UBE3C		3	2	499	0.4%	No
PCDH11Y		5	5	499	1.0%	No
ZFAND4		1	1	499	0.2%	No
RPP30		1	1	499	0.2%	No
OR5K2		2	2	499	0.4%	No
ZFAND5		1	1	499	0.2%	No
OR5K1		1	1	499	0.2%	No
PCDH11X		5	5	499	1.0%	No
WASHC2C		4	4	499	0.8%	No
UBE3A		1	1	499	0.2%	No
TMEM260		4	3	499	0.6%	No
ZFAND1		1	1	499	0.2%	No
UBE3B		1	1	499	0.2%	No
SRP14		2	2	499	0.4%	No
UBE2Z		1	1	499	0.2%	No
TMEM268		2	2	499	0.4%	No
TPTE2		8	7	499	1.4%	No
IL4R		3	3	499	0.6%	No
UBE4A		1	1	499	0.2%	No
UBE4B		2	2	499	0.4%	No
POU3F1		1	1	499	0.2%	No
POU3F3		1	1	499	0.2%	No
POU3F4		3	2	499	0.4%	Yes
SPOCD1		1	1	499	0.2%	No
SCNN1G		2	2	499	0.4%	No
SHQ1		1	1	499	0.2%	Yes
SCNN1D		1	1	499	0.2%	No
MAP7D3		3	3	499	0.6%	No
SCNN1B		4	4	499	0.8%	No
MAP7D1		2	2	499	0.4%	No
EHBP1L1		1	1	499	0.2%	No
MAP7D2		2	2	499	0.4%	No
PPIF		1	1	499	0.2%	No
SIDT1		2	2	499	0.4%	No
HHIPL2		1	1	499	0.2%	No
RPP21		1	1	499	0.2%	No
FETUB		2	2	499	0.4%	No
ANKS6		1	1	499	0.2%	No
PPIG		2	2	499	0.4%	No
PPIA		1	1	499	0.2%	No
SIDT2		4	3	499	0.6%	No
FBN2		6	4	499	0.8%	No
FBN3		14	13	499	2.6%	No
OR5I1		1	1	499	0.2%	No
CACNA1B		3	3	499	0.6%	No
CACNA1A		12	11	499	2.2%	No
CACNA1D		4	3	499	0.6%	Yes
CACNA1C		4	3	499	0.6%	No
BHLHE22	2.680e-2	3	3	499	0.6%	No
CACNA1F		2	2	499	0.4%	No
HOXB13		4	4	499	0.8%	Yes
HIGD1A		1	1	499	0.2%	No
CACNA1E		19	18	499	3.6%	No
CACNA1H		3	3	499	0.6%	No
CACNA1G		5	4	499	0.8%	No
NCKIPSD		3	3	499	0.6%	No
CACNA1I		2	2	499	0.4%	No
SYCE2		1	1	499	0.2%	No
SNTG2		2	2	499	0.4%	No
SYCE1		1	1	499	0.2%	No
OR2AK2		1	1	499	0.2%	No
SNTG1		5	5	499	1.0%	No
TMEM248		1	1	499	0.2%	No
DHRS7C		2	2	499	0.4%	No
CACNA1S		4	4	499	0.8%	No
OR5H8		2	2	499	0.4%	No
OR5H6		1	1	499	0.2%	No
UBE2F		1	1	499	0.2%	No
SYT4		1	1	499	0.2%	No
TFAP2B		2	2	499	0.4%	No
PDHA2		3	3	499	0.6%	No
TFAP2C		2	2	499	0.4%	No
MGAM		4	4	499	0.8%	Yes
SYT3		1	1	499	0.2%	No
PDHA1		1	1	499	0.2%	No
UBE2I		1	1	499	0.2%	No
VCAM1		2	2	499	0.4%	No
TFAP2D		2	2	499	0.4%	No
SYT1		1	1	499	0.2%	No
TFAP2E		1	1	499	0.2%	No
UBE2C		1	1	499	0.2%	No
RPP40		1	1	499	0.2%	No
HIGD2B		1	1	499	0.2%	No
SYT9		3	3	499	0.6%	No
SYT7		1	1	499	0.2%	No
TJAP1		2	2	499	0.4%	No
SYT6		1	1	499	0.2%	No
GH2		1	1	499	0.2%	No
GH1		3	3	499	0.6%	No
CCPG1		1	1	499	0.2%	No
UBE2S		1	1	499	0.2%	No
TMEM237		1	1	499	0.2%	No
BHLHE40		1	1	499	0.2%	No
UBE2U		1	1	499	0.2%	No
MELTF		2	2	499	0.4%	No
IL7R		1	1	499	0.2%	Yes
MXD3		2	1	499	0.2%	No
FBN1		13	13	499	2.6%	No
MXD4		1	1	499	0.2%	No
RERE		4	4	499	0.8%	No
PHTF2		1	1	499	0.2%	No
MS4A5		2	2	499	0.4%	No
NGLY1		5	4	499	0.8%	No
ADAR		3	3	499	0.6%	No
LDB3		2	2	499	0.4%	No
LDB2		1	1	499	0.2%	No
PHTF1		2	2	499	0.4%	No
TMEM220		1	1	499	0.2%	No
GHR		1	1	499	0.2%	No
TMEM223		1	1	499	0.2%	No
RASGEF1A		2	2	499	0.4%	Yes
TMEM225		1	1	499	0.2%	No
RASGEF1B		1	1	499	0.2%	No
RASGEF1C		2	2	499	0.4%	No
DACT3		1	1	499	0.2%	No
MAN1A1		2	2	499	0.4%	No
ARFGEF3		5	5	499	1.0%	No
DACT1		4	4	499	0.8%	No
TGIF2		1	1	499	0.2%	No
SPIDR		2	2	499	0.4%	No
EPN1		2	2	499	0.4%	No
EPN2		5	4	499	0.8%	No
GREM1		1	1	499	0.2%	Yes
GREM2		1	1	499	0.2%	No
SETBP1		4	3	499	0.6%	Yes
TMEM215		1	1	499	0.2%	No
DPPA2		1	1	499	0.2%	No
TMEM217		2	2	499	0.4%	No
OR2B11		3	3	499	0.6%	No
MAN1B1		1	1	499	0.2%	No
DPPA5		2	2	499	0.4%	No
MS4A2		1	1	499	0.2%	No
FBP1		2	2	499	0.4%	No
FBP2		1	1	499	0.2%	No
ATP6V1B1		2	2	499	0.4%	No
OR5M8		2	1	499	0.2%	No
RAP1GDS1		1	1	499	0.2%	Yes
OR5M3		2	2	499	0.4%	No
OR5M1		2	2	499	0.4%	No
AGPAT2		1	1	499	0.2%	No
AGPAT3		2	2	499	0.4%	No
ADD2		2	2	499	0.4%	No
AGPAT4		2	2	499	0.4%	No
GK5		1	1	499	0.2%	No
WDCP		4	4	499	0.8%	Yes
TMEM201		1	1	499	0.2%	No
TMEM205		1	1	499	0.2%	No
MXI1		2	2	499	0.4%	No
SPOCK3		1	1	499	0.2%	No
MAN1C1		1	1	499	0.2%	No
TMEM209		2	2	499	0.4%	No
ARFGEF1		4	4	499	0.8%	No
ATF7IP		7	5	499	1.0%	No
ARFGEF2		2	2	499	0.4%	No
IGKV5-2		1	1	499	0.2%	No
OR5L2	2.440e-2	6	6	499	1.2%	No
ZNF804B		5	5	499	1.0%	No
ZNF804A		4	3	499	0.6%	No
OR5L1		5	5	499	1.0%	No
SSRP1		5	4	499	0.8%	No
SLC50A1		1	1	499	0.2%	No
EPOR		1	1	499	0.2%	Yes
REST		3	3	499	0.6%	Yes
ACKR3		1	1	499	0.2%	Yes
ACKR2		2	2	499	0.4%	No
KRAS		2	2	499	0.4%	Yes
ACKR1		1	1	499	0.2%	No
SNTB1		2	2	499	0.4%	No
MAP10		1	1	499	0.2%	No
ANKLE2		3	2	499	0.4%	No
ANKLE1		2	2	499	0.4%	No
ARPC5L		1	1	499	0.2%	No
DMP1		2	2	499	0.4%	No
EMC10		1	1	499	0.2%	No
ANKRD20A1		1	1	499	0.2%	No
NYNRIN		7	7	499	1.4%	No
CSPP1		5	5	499	1.0%	No
CDK5RAP1		1	1	499	0.2%	No
PROK2		1	1	499	0.2%	No
AP1S3		1	1	499	0.2%	No
CDK5RAP3		1	1	499	0.2%	No
CDK5RAP2		4	4	499	0.8%	No
C2ORF80		1	1	499	0.2%	No
MAP1S		2	2	499	0.4%	No
GTPBP6		1	1	499	0.2%	No
REV1		2	2	499	0.4%	No
SCRIB		2	2	499	0.4%	No
GTPBP1		2	2	499	0.4%	No
GTPBP3		1	1	499	0.2%	No
ZC2HC1C		1	1	499	0.2%	No
MAP1B		2	2	499	0.4%	No
PLEKHS1		1	1	499	0.2%	No
MAP1A		5	5	499	1.0%	No
GNE		1	1	499	0.2%	No
SEH1L		2	2	499	0.4%	No
RPS4Y2		1	1	499	0.2%	No
CTBP2		1	1	499	0.2%	No
TPTE2P6		5	5	499	1.0%	No
XPA		2	2	499	0.4%	Yes
NAIF1		1	1	499	0.2%	No
XPC		4	4	499	0.8%	Yes
ADH6		3	3	499	0.6%	No
LDHC		1	1	499	0.2%	No
ADH4		1	1	499	0.2%	No
LDHB		1	1	499	0.2%	No
OR5M10		2	2	499	0.4%	No
PCDHA1		7	6	499	1.2%	No
LDHD		1	1	499	0.2%	No
PCDHA5		8	6	499	1.2%	No
HMOX1		2	1	499	0.2%	No
PCDHA4		4	3	499	0.6%	No
GSG1L		1	1	499	0.2%	No
PCDHA3		6	5	499	1.0%	No
PCDHA2		4	4	499	0.8%	No
PROM1		1	1	499	0.2%	No
PCDHA9		4	4	499	0.8%	No
PCDHA8		6	5	499	1.0%	No
ELOA3BP		3	3	499	0.6%	No
HMOX2		1	1	499	0.2%	No
PCDHA7		4	4	499	0.8%	No
PCDHA6		3	3	499	0.6%	No
PROM2		1	1	499	0.2%	No
BARD1		3	3	499	0.6%	Yes
DMPK		1	1	499	0.2%	No
GRTP1		1	1	499	0.2%	No
SNAI3		2	2	499	0.4%	No
SETD1A		3	3	499	0.6%	Yes
GP2		1	1	499	0.2%	No
RMDN3		2	2	499	0.4%	No
RMDN1		1	1	499	0.2%	No
GP5		4	4	499	0.8%	No
GP9		1	1	499	0.2%	No
PCDHB2		6	6	499	1.2%	No
PCDHB1		3	3	499	0.6%	No
ADI1		1	1	499	0.2%	No
SNAI1		1	1	499	0.2%	No
PCDHB6		5	5	499	1.0%	No
PCDHB5		3	3	499	0.6%	No
PCDHB4		6	6	499	1.2%	No
PPT2		2	2	499	0.4%	No
PCDHB3		2	2	499	0.4%	No
PCDHB8		4	4	499	0.8%	No
PCDHB7		7	7	499	1.4%	No
YJEFN3		2	2	499	0.4%	No
KRI1		3	2	499	0.4%	No
SPOUT1		1	1	499	0.2%	No
TAF7L		3	2	499	0.4%	No
TEAD1		1	1	499	0.2%	No
TEAD2		1	1	499	0.2%	No
TEAD3		1	1	499	0.2%	No
SHPRH		2	2	499	0.4%	No
NUTF2		1	1	499	0.2%	No
TERF2		1	1	499	0.2%	No
NCOR2		8	7	499	1.4%	Yes
FAM210A		1	1	499	0.2%	No
NCOR1		8	8	499	1.6%	Yes
AEBP2		1	1	499	0.2%	No
PLEKHO1		1	1	499	0.2%	No
CACTIN		1	1	499	0.2%	No
MGLL		1	1	499	0.2%	No
SGMS1		1	1	499	0.2%	No
SCAF8		2	2	499	0.4%	No
GPNMB		1	1	499	0.2%	No
EPYC		1	1	499	0.2%	No
FBXL9P		1	1	499	0.2%	No
TP53TG5		3	3	499	0.6%	No
SIAE		2	2	499	0.4%	No
LDLR		3	3	499	0.6%	No
RUNX1T1		5	4	499	0.8%	Yes
YTHDF1		1	1	499	0.2%	No
GSN		6	4	499	0.8%	No
YTHDF2		2	2	499	0.4%	No
GSR		1	1	499	0.2%	No
SCAF1		3	3	499	0.6%	No
SLC8B1		2	2	499	0.4%	No
SCAF4		1	1	499	0.2%	No
SLC8A3		4	4	499	0.8%	No
MKLN1		2	2	499	0.4%	No
SMOC1		3	3	499	0.6%	No
TMEM39A		2	2	499	0.4%	No
TMEM39B		3	2	499	0.4%	No
KLKB1		2	2	499	0.4%	No
NUCB2		2	2	499	0.4%	No
ANKRD13C		2	2	499	0.4%	No
CEP126		2	2	499	0.4%	No
RAB3C		1	1	499	0.2%	No
ANKRD13B		1	1	499	0.2%	No
CCT8L2		6	6	499	1.2%	No
RAB3A		1	1	499	0.2%	No
PLXND1		5	5	499	1.0%	No
PROS1		3	3	499	0.6%	No
PRORP		1	1	499	0.2%	No
RPL10L		2	2	499	0.4%	No
CEP120		4	4	499	0.8%	No
RPL10A		3	3	499	0.6%	No
VIRMA		4	4	499	0.8%	No
SLC8A1		7	5	499	1.0%	No
SLC8A2		3	3	499	0.6%	No
CDC14B		2	2	499	0.4%	No
FAM216A		1	1	499	0.2%	No
CEP128		2	2	499	0.4%	No
HID1		2	2	499	0.4%	No
IGHG4		2	2	499	0.4%	No
IGHG1		5	5	499	1.0%	No
IGHG2		1	1	499	0.2%	No
SALL1	4.840e-3	13	12	499	2.4%	No
SALL2		2	1	499	0.2%	No
SALL3		4	4	499	0.8%	No
SLC39A9		1	1	499	0.2%	No
SALL4		3	2	499	0.4%	Yes
SLC39A6		1	1	499	0.2%	No
SLC39A5		2	2	499	0.4%	No
PLXNC1		3	3	499	0.6%	No
SLC39A2		1	1	499	0.2%	No
PCDHAC2		5	3	499	0.6%	No
ANKRD13A		2	2	499	0.4%	No
PCDHAC1		6	6	499	1.2%	No
TLE4		4	4	499	0.8%	Yes
RARS2		1	1	499	0.2%	No
CSNK1G3		1	1	499	0.2%	No
TLE3		3	3	499	0.6%	Yes
SUPT16H		2	2	499	0.4%	No
SNRPN		2	2	499	0.4%	No
TRGV2		1	1	499	0.2%	No
TLE1		4	4	499	0.8%	Yes
CEP135		1	1	499	0.2%	No
HARBI1		2	2	499	0.4%	No
SPICE1		3	3	499	0.6%	No
TTC21A		2	2	499	0.4%	No
VRK3		2	2	499	0.4%	No
ILF2		2	2	499	0.4%	No
HIC1		4	4	499	0.8%	No
RAB32		2	2	499	0.4%	No
HIC2		2	2	499	0.4%	No
ILF3		3	2	499	0.4%	No
RAB30		1	1	499	0.2%	No
RAB37		3	3	499	0.6%	No
DMWD		2	2	499	0.4%	No
RAB34		1	1	499	0.2%	No
RAB35		1	1	499	0.2%	Yes
SNRPG		1	1	499	0.2%	No
SNRNP27		1	1	499	0.2%	No
TEKTL1		4	4	499	0.8%	No
RAB38		1	1	499	0.2%	No
ADNP		2	2	499	0.4%	No
SNRPC		1	1	499	0.2%	No
CSNK1G1		2	2	499	0.4%	No
CEP104		5	4	499	0.8%	No
BRSK1		3	2	499	0.4%	Yes
SLC26A2		3	3	499	0.6%	No
RAB5C		3	3	499	0.6%	No
SLC26A1		2	2	499	0.4%	No
IGHV4-59		1	1	499	0.2%	No
AEBP1		3	3	499	0.6%	No
HSPBP1		1	1	499	0.2%	No
DDRGK1		1	1	499	0.2%	No
TTC21B		3	1	499	0.2%	No
PLXNA2		4	4	499	0.8%	No
PLXNA1		9	4	499	0.8%	No
SRGAP3		2	2	499	0.4%	No
SRGAP2		1	1	499	0.2%	No
SRGAP1		4	4	499	0.8%	No
AP1M2		2	2	499	0.4%	No
PLXNA4		4	4	499	0.8%	No
AP1M1		2	1	499	0.2%	No
PLXNA3		2	2	499	0.4%	No
EIF2B5		1	1	499	0.2%	No
SEC16B		4	4	499	0.8%	No
EIF2B3		1	1	499	0.2%	No
CEP112		1	1	499	0.2%	No
EIF2B2		1	1	499	0.2%	No
RAB4B		3	2	499	0.4%	No
SEC16A		3	3	499	0.6%	No
YJU2		2	1	499	0.2%	No
M6PR		1	1	499	0.2%	No
FAM217A		1	1	499	0.2%	No
EZHIP		1	1	499	0.2%	Yes
GFAP		2	2	499	0.4%	No
FAM217B		2	2	499	0.4%	No
LRFN3		3	2	499	0.4%	No
LRFN2		1	1	499	0.2%	No
LRFN5		2	2	499	0.4%	No
LRFN4		3	3	499	0.6%	No
P4HA1		4	4	499	0.8%	No
P4HA2		3	2	499	0.4%	No
P4HA3		3	3	499	0.6%	No
PLXNB3		1	1	499	0.2%	No
PLEKHM1		1	1	499	0.2%	No
SLC26A8		2	2	499	0.4%	No
CSPG5		1	1	499	0.2%	No
PLXNB2		4	2	499	0.4%	No
SLC26A7		2	2	499	0.4%	No
CSPG4		5	5	499	1.0%	No
PLXNB1		4	4	499	0.8%	No
SLC26A9		1	1	499	0.2%	No
SLC26A4		3	3	499	0.6%	No
SLC26A3		1	1	499	0.2%	No
SLC26A6		3	3	499	0.6%	No
WDR1		1	1	499	0.2%	No
ADPGK		1	1	499	0.2%	No
WDR3		2	2	499	0.4%	No
WDR4		1	1	499	0.2%	No
CEP164		2	2	499	0.4%	No
PIK3C2G		1	1	499	0.2%	Yes
IGHV4-39		1	1	499	0.2%	No
PIK3C2A		2	2	499	0.4%	No
FTCD		1	1	499	0.2%	No
PIK3C2B		5	3	499	0.6%	Yes
AP1G2		2	2	499	0.4%	No
AP1G1		1	1	499	0.2%	No
SCRN2		1	1	499	0.2%	No
TLK2		2	2	499	0.4%	No
TLK1		4	4	499	0.8%	No
WDR6		4	3	499	0.6%	No
CEP170		3	2	499	0.4%	No
WDR7		4	4	499	0.8%	No
EIF2B1		1	1	499	0.2%	Yes
RFC5		1	1	499	0.2%	No
PLEKHG3		5	3	499	0.6%	No
CIMAP3		1	1	499	0.2%	No
PLEKHG4		2	2	499	0.4%	No
CIMAP2		3	2	499	0.4%	No
ADSL		1	1	499	0.2%	No
RFC3		3	3	499	0.6%	No
PLEKHG1		5	4	499	0.8%	No
PLEKHG2		1	1	499	0.2%	No
RFC1		5	3	499	0.6%	No
PLEKHG7		1	1	499	0.2%	No
CEMIP2		3	3	499	0.6%	No
CHPF2		1	1	499	0.2%	No
KRTAP19-4		1	1	499	0.2%	No
KRTAP19-3		1	1	499	0.2%	No
KRTAP19-6		1	1	499	0.2%	No
KRTAP19-5		1	1	499	0.2%	No
KRTAP19-7		1	1	499	0.2%	No
IGHJ6		1	1	499	0.2%	No
TFDP1		3	3	499	0.6%	No
IGHJ5		1	1	499	0.2%	No
SKIC2		3	3	499	0.6%	No
TFDP2		1	1	499	0.2%	No
AOPEP		1	1	499	0.2%	No
CATSPERE		1	1	499	0.2%	No
SKIC3		1	1	499	0.2%	No
TFDP3		2	2	499	0.4%	No
CATSPERD		2	2	499	0.4%	No
CATSPERG		2	2	499	0.4%	No
FOXD4L3		1	1	499	0.2%	No
PLEKHH2		6	5	499	1.0%	No
NUTM1		2	2	499	0.4%	Yes
CATSPER3		1	1	499	0.2%	No
PLEKHH3		1	1	499	0.2%	No
CATSPER2		1	1	499	0.2%	No
CATSPER4		1	1	499	0.2%	No
ARPC4-TTLL3		2	2	499	0.4%	No
FBXL22		1	1	499	0.2%	No
SELENBP1		2	2	499	0.4%	No
FBXL20		1	1	499	0.2%	No
P2RY8		1	1	499	0.2%	Yes
P2RY6		1	1	499	0.2%	No
P2RY4		2	2	499	0.4%	No
RAB25		1	1	499	0.2%	No
P2RY2		2	2	499	0.4%	No
P2RY1		1	1	499	0.2%	No
RAB24		1	1	499	0.2%	No
RFFL		2	2	499	0.4%	No
SLC13A5		1	1	499	0.2%	No
PLEKHH1		1	1	499	0.2%	No
ANGPT2		1	1	499	0.2%	No
RNGTT		1	1	499	0.2%	No
ANGPT1		1	1	499	0.2%	No
KRR1		1	1	499	0.2%	No
CEP152		4	4	499	0.8%	No
FBXL19		1	1	499	0.2%	No
FBXL17		3	3	499	0.6%	No
FBXL18		1	1	499	0.2%	No
